iter	Passed	Remaining
478	33381	1360399
479	33448	1360257
480	33515	1360078
481	33582	1359896
482	33647	1359633
483	33718	1359624
484	33786	1359473
485	33853	1359307
486	33923	1359222
487	33988	1358978
488	34054	1358782
489	34120	1358534
490	34190	1358495
491	34261	1358471
492	34330	1358390
493	34400	1358316
494	34467	1358176
495	34535	1358030
496	34609	1358120
497	34676	1357934
498	34743	1357767
499	34808	1357530
500	34876	1357407
501	34942	1357178
502	35010	1357037
503	35078	1356928
504	35146	1356787
505	35212	1356580
506	35277	1356339
507	35345	1356191
508	35416	1356211
509	35484	1356054
510	35557	1356137
511	35635	1356386
512	35712	1356598
513	35791	1356884
514	35866	1356993
515	35942	1357165
516	36018	1357332
517	36094	1357527
518	36166	1357525
519	36237	1357494
520	36309	1357513
521	36379	1357481
522	36449	1357431
523	36521	1357415
524	36591	1357364
525	36658	1357203
526	36737	1357473
527	36811	1357578
528	36881	1357515
529	36953	1357500
530	37026	1357566
531	37097	1357530
532	37165	1357421
533	37233	1357273
534	37301	1357138
535	37372	1357106
536	37443	1357100
537	37511	1356984
538	37581	1356902
539	37651	1356844
540	37723	1356870
541	37797	1356939
542	37871	1357017
543	37951	1357340
544	38023	1357325
545	38095	1357334
546	38164	1357245
547	38235	1357229
548	38306	1357207
549	38372	1356975
550	38436	1356716
551	38504	1356579
552	38576	1356611
553	38649	1356635
554	38720	1356598
555	38792	1356629
556	38869	1356808
557	38948	1357067
558	39021	1357085
559	39090	1356988
560	39161	1356964
561	39236	1357083
562	39309	1357112
563	39381	1357121
564	39455	1357187
565	39532	1357391
566	39603	1357349
567	39673	1357277
568	39741	1357147
569	39819	1357352
570	39895	1357503
571	39976	1357789
572	40050	1357860
573	40124	1357937
574	40198	1358012
575	40270	1358006
576	40341	1357967
577	40413	1357969
578	40487	1358030
579	40558	1358021
580	40633	1358120
581	40700	1357957
582	40772	1357933
583	40844	1357938
584	40922	1358136
585	40994	1358150
586	41069	1358215
587	41138	1358135
588	41208	1358046
589	41276	1357934
590	41348	1357926
591	41418	1357856
592	41490	1357863
593	41564	1357904
594	41634	1357839
595	41700	1357637
596	41769	1357532
597	41837	1357399
598	41902	1357171
599	41970	1357038
600	42043	1357060
601	42112	1356963
602	42186	1357039
603	42260	1357094
604	42330	1357018
605	42397	1356867
606	42467	1356795
607	42540	1356807
608	42610	1356739
609	42678	1356618
610	42753	1356719
611	42821	1356588
612	42888	1356405
613	42956	1356262
614	43024	1356138
615	43099	1356220
616	43169	1356160
617	43239	1356098
618	43306	1355945
619	43374	1355804
620	43441	1355653
621	43507	1355443
622	43573	1355242
623	43642	1355164
624	43711	1355051
625	43780	1354946
626	43854	1355000
627	43922	1354898
628	43990	1354766
629	44060	1354672
630	44129	1354585
631	44198	1354500
632	44268	1354406
633	44337	1354316
634	44405	1354188
635	44473	1354074
636	44542	1353955
637	44611	1353858
638	44682	1353828
639	44755	1353839
640	44829	1353908
641	44900	1353876
642	44969	1353778
643	45036	1353613
644	45109	1353623
645	45180	1353605
646	45248	1353482
647	45316	1353349
648	45382	1353164
649	45452	1353083
650	45522	1353021
651	45591	1352917
652	45658	1352765
653	45723	1352543
654	45790	1352383
655	45855	1352173
656	45922	1352008
657	45992	1351965
658	46069	1352098
659	46137	1351972
660	46208	1351943
661	46281	1351965
662	46356	1352040
663	46430	1352092
664	46501	1352052
665	46567	1351864
666	46639	1351849
667	46711	1351822
668	46781	1351763
669	46849	1351646
670	46917	1351508
671	46982	1351312
672	47049	1351161
673	47120	1351117
674	47192	1351109
675	47263	1351071
676	47332	1350976
677	47397	1350767
678	47466	1350656
679	47540	1350698
680	47613	1350728
681	47686	1350747
682	47760	1350800
683	47830	1350721
684	47900	1350665
685	47972	1350628
686	48038	1350452
687	48108	1350400
688	48182	1350424
689	48297	1351629
690	48392	1352262
691	48485	1352842
692	48569	1353155
693	48640	1353097
694	48709	1353002
695	48778	1352909
696	48846	1352764
697	48913	1352614
698	48981	1352504
699	49051	1352433
700	49126	1352482
701	49202	1352566
702	49272	1352494
703	49342	1352419
704	49410	1352297
705	49480	1352244
706	49556	1352333
707	49629	1352345
708	49701	1352311
709	49771	1352235
710	49849	1352380
711	49921	1352370
712	49986	1352170
713	50052	1351983
714	50122	1351896
715	50192	1351819
716	50263	1351773
717	50335	1351778
718	50409	1351789
719	50478	1351696
720	50545	1351548
721	50610	1351352
722	50675	1351143
723	50749	1351179
724	50819	1351086
725	50889	1351038
726	50957	1350905
727	51032	1350954
728	51099	1350799
729	51168	1350705
730	51237	1350603
731	51306	1350502
732	51374	1350379
733	51442	1350259
734	51508	1350075
735	51575	1349923
736	51642	1349784
737	51709	1349626
738	51775	1349460
739	51840	1349241
740	51911	1349197
741	51983	1349177
742	52054	1349144
743	52121	1348984
744	52188	1348832
745	52261	1348855
746	52329	1348733
747	52398	1348625
748	52466	1348514
749	52532	1348331
750	52599	1348178
751	52665	1348007
752	52733	1347892
753	52800	1347740
754	52870	1347666
755	52938	1347560
756	53007	1347442
757	53079	1347426
758	53148	1347328
759	53216	1347213
760	53286	1347142
